Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,7,7,1887,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,8,8,1888,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,9,9,1889,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,10,10,1890,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,11,11,1891,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,12,12,1892 Jan 0,1892 Oct 01,013894026
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,1,1,1860 Mar 2,1861 Dec 26,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,6434,14,14,1862,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,2,2,1863,1864,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,3,3,1865,1866,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,4,4,1867,1868,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,5,5,1869,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,6,6,1870,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,7,7,1871,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,9662,11,11,1872,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,8,8,1873,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11655,14,14,1874,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,9,9,1875,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,10,10,1876,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,10700,15,15,1877,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,10485,12,12,1878,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,10346,7,7,1879,,013900990
"The Weymouth, Portland and Dorchester Telegram",Dorset,11710,11,11,1880,,013900990
